graph_id,atom_num
0,6
0,6
0,6
0,8
0,7
0,6
0,8
0,7
0,9
1,6
1,7
1,6
1,6
1,7
1,6
1,16
1,7
1,6
1,7
1,7
2,6
2,6
2,6
2,6
2,8
2,7
2,6
2,6
2,8
2,7
2,6
2,6
2,6
2,6
2,6
2,8
2,7
2,6
2,6
2,8
2,7
2,6
2,6
2,8
2,8
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,7
2,6
2,8
2,6
2,6
2,6
2,8
2,6
2,6
2,6
2,7
2,6
2,6
2,6
2,6
2,6
2,6
2,8
2,6
2,6
2,8
2,7
2,6
2,6
2,8
2,6
2,8
2,6
2,7
2,6
2,8
2,6
2,7
2,6
2,8
2,6
2,6
2,6
2,6
2,7
2,6
2,8
2,6
2,7
2,6
2,8
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,6
2,7
3,6
3,7
3,6
3,6
3,7
3,6
3,8
3,6
3,6
3,8
3,7
3,6
3,7
3,6
3,8
3,7
4,6
4,7
4,6
4,6
4,6
4,7
4,7
4,6
4,7
4,6
4,6
4,6
4,6
4,8
4,6
4,8
4,8
4,8
4,7
5,6
5,7
5,7
5,6
5,6
5,6
5,8
5,7
5,6
5,7
6,6
6,6
6,7
6,6
6,7
6,6
6,6
6,16
6,15
6,8
6,8
6,8
7,6
7,6
7,8
7,6
7,8
7,6
7,6
7,7
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,6
7,17
7,6
7,8
7,8
7,6
7,6
7,6
7,8
7,6
7,6
7,7
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,8
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,6
8,8
8,8
8,6
8,6
8,6
8,8
8,6
8,6
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,6
8,8
8,8
8,8
8,6
8,6
8,6
8,6
8,6
8,8
8,6
8,8
8,7
8,8
9,6
9,6
9,6
9,6
9,7
9,6
9,6
9,6
9,6
9,6
9,6
9,6
9,7
9,6
9,7
9,6
9,7
9,6
9,6
9,6
9,6
9,7
10,6
10,6
10,8
10,8
10,6
10,6
10,6
10,6
10,6
10,6
10,6
10,8
10,8
11,6
11,7
11,6
11,6
11,6
11,6
11,6
11,6
11,6
11,8
11,6
11,8
11,6
11,6
11,8
11,6
11,6
11,6
11,6
11,6
11,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,8
12,8
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
13,6
13,6
13,6
13,7
13,6
13,7
13,6
13,7
13,6
13,6
13,6
13,8
13,7
13,7
13,6
13,6
13,6
13,8
13,7
13,7
13,6
13,8
13,7
13,6
13,6
13,6
13,6
13,7
13,6
13,7
13,8
13,6
13,6
13,6
13,6
13,6
13,8
13,6
13,8
13,8
13,8
13,8
13,6
13,6
13,6
13,6
13,6
13,8
13,6
13,8
13,8
13,8
13,6
13,8
13,7
13,8
13,6
13,8
13,7
13,6
13,6
13,6
13,6
13,6
13,6
13,8
13,7
13,6
13,6
13,6
13,8
13,6
13,8
13,7
13,6
13,6
13,6
13,7
13,6
13,6
13,16
13,6
13,7
13,6
13,6
13,16
13,6
13,8
13,7
13,6
13,6
13,6
13,16
13,6
13,6
13,8
14,5
14,6
14,6
14,6
14,6
14,6
14,7
14,6
14,8
14,6
14,6
14,6
14,6
14,6
14,6
14,6
14,6
14,7
14,6
14,8
14,6
14,7
14,6
14,6
14,7
14,6
14,8
14,8
15,6
15,6
15,6
15,8
15,6
15,6
15,6
15,6
15,6
15,6
15,17
15,7
15,6
15,6
15,6
15,6
16,6
16,16
16,8
16,8
16,8
16,6
16,6
16,6
16,6
16,8
16,16
16,8
16,8
16,6
17,6
17,6
17,6
17,6
17,6
17,6
17,6
17,6
17,8
17,6
17,6
17,6
17,6
